Meta data
Physical channel, Start Time, Sample Interval, Sample Count
Channel 0 (PXI1Slot5/0), -0.0120195935368957, 0.000001, 26002
Channel 1 (PXI1Slot5/1), -0.0120195935368957, 0.000001, 26002

Data
Channel 0 (PXI1Slot5/0), Channel 1 (PXI1Slot5/1)
-2.0280030441354, -1.94516893744003
-2.02459210110828, -1.94516893744003
-2.0280030441354, -1.94722096965415
-2.02390991250286, -1.94927300186828
-2.02595647831913, -1.9513250340824
-2.02732085552998, -1.94516893744003
-2.02118115808116, -1.94585294817807
-2.02936742134625, -1.94585294817807
-2.02595647831913, -1.94927300186828
-2.02322772389743, -1.94380091596395
-2.02527428971371, -1.94516893744003
-2.02459210110828, -1.94653695891611
-2.02663866692455, -1.94722096965415
-2.02868523274083, -1.94858899113024
-2.02322772389743, -1.94858899113024
-2.02459210110828, -1.94995701260632
-2.02459210110828, -1.95064102334436
-2.01913459226489, -1.9479049803922
-2.02527428971371, -1.94995701260632
-2.02186334668659, -1.94448492670199
-2.02595647831913, -1.94516893744003
-2.02118115808116, -1.94653695891611
-2.0280030441354, -1.9479049803922
-2.02595647831913, -1.94585294817807
-2.02595647831913, -1.94653695891611
-2.02459210110828, -1.94722096965415
-2.02663866692455, -1.94995701260632
-2.02595647831913, -1.94995701260632
-2.02459210110828, -1.94722096965415
-2.02595647831913, -1.94927300186828
-2.02254553529201, -1.94653695891611
-2.02254553529201, -1.95064102334436
-2.02118115808116, -1.94311690522591
-2.02732085552998, -1.94516893744003
-2.02390991250286, -1.94653695891611
-2.02322772389743, -1.94653695891611
-2.02322772389743, -1.94995701260632
-2.02049896947574, -1.94927300186828
-2.02118115808116, -1.94722096965415
-2.02527428971371, -1.95200904482044
-2.02663866692455, -1.94722096965415
-2.02459210110828, -1.94653695891611
-2.02390991250286, -1.95337706629653
-2.02186334668659, -1.94722096965415
-2.02390991250286, -1.95064102334436
-2.02527428971371, -1.94858899113024
-2.02390991250286, -1.95064102334436
-2.02254553529201, -1.94722096965415
-2.02459210110828, -1.94927300186828
-2.02254553529201, -1.95064102334436
-2.02663866692455, -1.94858899113024
-2.0280030441354, -1.94995701260632
-2.02186334668659, -1.95269305555848
-2.02390991250286, -1.95064102334436
-2.02254553529201, -1.95064102334436
-2.02459210110828, -1.94927300186828
-2.02118115808116, -1.95064102334436
-2.02254553529201, -1.9479049803922
-2.02049896947574, -1.95200904482044
-2.01640583784319, -1.95200904482044
-2.02322772389743, -1.95269305555848
-2.02595647831913, -1.95200904482044
-2.02186334668659, -1.9513250340824
-2.02186334668659, -1.9513250340824
-2.02118115808116, -1.94927300186828
-2.02595647831913, -1.9479049803922
-2.02254553529201, -1.95269305555848
-2.02322772389743, -1.94585294817807
-2.02459210110828, -1.95269305555848
-2.02186334668659, -1.94927300186828
-2.02254553529201, -1.9513250340824
-2.02049896947574, -1.95269305555848
-2.01981678087031, -1.94927300186828
-2.02254553529201, -1.95269305555848
-2.01981678087031, -1.95337706629653
-2.01708802644862, -1.95064102334436
-2.02527428971371, -1.95064102334436
-2.02254553529201, -1.9513250340824
-2.02390991250286, -1.94927300186828
-2.02049896947574, -1.95269305555848
-2.01913459226489, -1.95064102334436
-2.02322772389743, -1.95611310924869
-2.01981678087031, -1.95748113072477
-2.02049896947574, -1.95200904482044
-2.01981678087031, -1.94995701260632
-2.02254553529201, -1.95269305555848
-2.01777021505404, -1.9479049803922
-2.01845240365947, -1.95200904482044
-2.02186334668659, -1.95200904482044
-2.01708802644862, -1.95406107703457
-2.02118115808116, -1.95064102334436
-2.02049896947574, -1.95200904482044
-2.02322772389743, -1.95337706629653
-2.01708802644862, -1.95200904482044
-2.02254553529201, -1.95337706629653
-2.02049896947574, -1.95542909851065
-2.02049896947574, -1.95337706629653
-2.01845240365947, -1.95474508777261
-2.02118115808116, -1.94927300186828
-2.02049896947574, -1.9513250340824
-2.01777021505404, -1.95269305555848
-2.01845240365947, -1.95064102334436
-2.01845240365947, -1.95406107703457
-2.02322772389743, -1.95611310924869
-2.02118115808116, -1.95542909851065
-2.02254553529201, -1.95337706629653
-2.02049896947574, -1.95269305555848
-2.01777021505404, -1.95474508777261
-2.01913459226489, -1.95200904482044
-2.01981678087031, -1.95337706629653
-2.01845240365947, -1.95200904482044
-2.02049896947574, -1.95474508777261
-2.01845240365947, -1.95406107703457
-2.01845240365947, -1.95200904482044
-2.01572364923777, -1.95542909851065
-2.01572364923777, -1.95611310924869
-2.02527428971371, -1.95406107703457
-2.01708802644862, -1.95337706629653
-2.01981678087031, -1.95064102334436
-2.01913459226489, -1.95679711998673
-2.01504146063235, -1.95406107703457
-2.01981678087031, -1.95337706629653
-2.02186334668659, -1.95269305555848
-2.01845240365947, -1.9513250340824
-2.01572364923777, -1.95337706629653
-2.01572364923777, -1.95337706629653
-2.02254553529201, -1.95474508777261
-2.02118115808116, -1.95474508777261
-2.01913459226489, -1.95406107703457
-2.01845240365947, -1.95611310924869
-2.01777021505404, -1.95679711998673
-2.01640583784319, -1.95406107703457
-2.01708802644862, -1.95474508777261
-2.01640583784319, -1.95611310924869
-2.01913459226489, -1.95542909851065
-2.01777021505404, -1.95679711998673
-2.01845240365947, -1.95542909851065
-2.01913459226489, -1.95748113072477
-2.01845240365947, -1.95064102334436
-2.01504146063235, -1.95337706629653
-2.01708802644862, -1.95542909851065
-2.01708802644862, -1.95611310924869
-2.01504146063235, -1.95679711998673
-2.01708802644862, -1.95269305555848
-2.01777021505404, -1.95884915220086
-2.01572364923777, -1.95884915220086
-2.01640583784319, -1.95542909851065
-2.0136770834215, -1.9595331629389
-2.01504146063235, -1.95474508777261
-2.01777021505404, -1.95474508777261
-2.01572364923777, -1.95748113072477
-2.01572364923777, -1.95542909851065
-2.0136770834215, -1.95611310924869
-2.02186334668659, -1.95474508777261
-2.01640583784319, -1.95884915220086
-2.01504146063235, -1.95542909851065
-2.01981678087031, -1.95748113072477
-2.01231270621065, -1.95542909851065
-2.01572364923777, -1.95679711998673
-2.01435927202692, -1.95474508777261
-2.01640583784319, -1.95748113072477
-2.01913459226489, -1.95679711998673
-2.01572364923777, -1.95474508777261
-2.01708802644862, -1.95748113072477
-2.01708802644862, -1.95611310924869
-2.01504146063235, -1.95474508777261
-2.0136770834215, -1.95679711998673
-2.01504146063235, -1.95748113072477
-2.01845240365947, -1.95474508777261
-2.01640583784319, -1.95748113072477
-2.0136770834215, -1.95474508777261
-2.0136770834215, -1.95884915220086
-2.01299489481607, -1.95542909851065
-2.01777021505404, -1.95816514146281
-2.0136770834215, -1.96090118441498
-2.01572364923777, -1.95679711998673
-2.01504146063235, -1.95884915220086
-2.0136770834215, -1.96226920589106
-2.01572364923777, -1.96021717367694
-2.01572364923777, -1.95611310924869
-2.0136770834215, -1.95816514146281
-2.01163051760523, -1.95748113072477
-2.01231270621065, -1.95816514146281
-2.01231270621065, -1.95474508777261
-2.01231270621065, -1.96226920589106
-2.01504146063235, -1.95542909851065
-2.0136770834215, -1.95884915220086
-2.01231270621065, -1.9595331629389
-2.01435927202692, -1.95679711998673
-2.0136770834215, -1.95679711998673
-2.01435927202692, -1.95542909851065
-2.0136770834215, -1.95816514146281
-2.01163051760523, -1.95542909851065
-2.01572364923777, -1.96021717367694
-2.01640583784319, -1.95816514146281
-2.01981678087031, -1.96021717367694
-2.01572364923777, -1.9595331629389
-2.01163051760523, -1.9629532166291
-2.01026614039438, -1.95611310924869
-2.01026614039438, -1.95884915220086
-2.0109483289998, -1.95816514146281
-2.00890176318353, -1.96021717367694
-2.01640583784319, -1.95884915220086
-2.01163051760523, -1.95884915220086
-2.01504146063235, -1.95884915220086
-2.01435927202692, -1.9595331629389
-2.01640583784319, -1.95679711998673
-2.0136770834215, -1.9595331629389
-2.01640583784319, -1.96500524884323
-2.0109483289998, -1.95679711998673
-2.01026614039438, -1.96021717367694
-2.01435927202692, -1.95884915220086
-2.01026614039438, -1.95542909851065
-2.01163051760523, -1.96158519515302
-2.01163051760523, -1.9595331629389
-2.00958395178895, -1.96090118441498
-2.01504146063235, -1.95679711998673
-2.01299489481607, -1.96021717367694
-2.00821957457811, -1.96021717367694
-2.00958395178895, -1.95679711998673
-2.01163051760523, -1.95884915220086
-2.01163051760523, -1.95748113072477
-2.01026614039438, -1.96021717367694
-2.01231270621065, -1.95542909851065
-2.01435927202692, -1.95816514146281
-2.01026614039438, -1.95884915220086
-2.00753738597268, -1.96226920589106
-2.00958395178895, -1.96158519515302
-2.0109483289998, -1.96090118441498
-2.00890176318353, -1.96158519515302
-2.01026614039438, -1.96090118441498
-2.01231270621065, -1.9595331629389
-2.01026614039438, -1.95679711998673
-2.00958395178895, -1.95748113072477
-2.01163051760523, -1.9629532166291
-2.01163051760523, -1.95474508777261
-2.01163051760523, -1.96021717367694
-2.0109483289998, -1.96021717367694
-2.00958395178895, -1.95611310924869
-2.0109483289998, -1.96021717367694
-2.01435927202692, -1.96226920589106
-2.00753738597268, -1.96226920589106
-2.00890176318353, -1.96090118441498
-2.0109483289998, -1.96090118441498
-2.01163051760523, -1.95748113072477
-2.00821957457811, -1.9629532166291
-2.00821957457811, -1.95884915220086
-2.01026614039438, -1.96090118441498
-2.00890176318353, -1.9595331629389
-2.00685519736726, -1.96090118441498
-2.00958395178895, -1.95679711998673
-2.0109483289998, -1.96158519515302
-2.00958395178895, -1.96021717367694
-2.00617300876183, -1.96090118441498
-2.01026614039438, -1.96021717367694
-2.00821957457811, -1.96158519515302
-2.00549082015641, -1.9595331629389
-2.0109483289998, -1.96021717367694
-2.01299489481607, -1.96090118441498
-2.00753738597268, -1.95884915220086
-2.00480863155099, -1.95474508777261
-2.00753738597268, -1.96432123810519
-2.00958395178895, -1.9629532166291
-2.01231270621065, -1.96432123810519
-2.01026614039438, -1.9595331629389
-2.00685519736726, -1.96158519515302
-2.00685519736726, -1.95884915220086
-2.00617300876183, -1.9629532166291
-2.00958395178895, -1.96500524884323
-2.00890176318353, -1.96090118441498
-2.0109483289998, -1.9629532166291
-2.00890176318353, -1.95816514146281
-2.00617300876183, -1.96021717367694
-2.01299489481607, -1.96158519515302
-2.00617300876183, -1.96090118441498
-2.00617300876183, -1.96432123810519
-2.01163051760523, -1.95542909851065
-2.00821957457811, -1.96021717367694
-2.00549082015641, -1.95816514146281
-2.00821957457811, -1.96158519515302
-2.00753738597268, -1.96226920589106
-2.00617300876183, -1.96637327031931
-2.00412644294556, -1.96226920589106
-2.00549082015641, -1.9629532166291
-2.00890176318353, -1.96226920589106
-2.01231270621065, -1.9629532166291
