	Meta data			
	Physical channel	 Start Time	 Sample Interval	 Sample Count
	Channel 0 (PXI1Slot5/0)	-0.48993584	0.00000704	100000
	Channel 1 (PXI1Slot5/1)	-0.48993584	0.00000704	100000
				
	Data			
Time	Channel 0 (PXI1Slot5/0)	 Channel 1 (PXI1Slot5/1)		
0	-0.026677015	0.942257535		
0.00000704	-0.026954765	0.941162746		
0.00001408	-0.024732765	0.939520564		
0.00002112	-0.026677015	0.940889049		
0.00002816	-0.024177265	0.940341655		
0.0000352	-0.025566015	0.942804929		
0.00004224	-0.026399265	0.940615352		
0.00004928	-0.026121515	0.942257535		
0.00005632	-0.026399265	0.940889049		
0.00006336	-0.024177265	0.943899718		
0.0000704	-0.026954765	0.941710141		
0.00007744	-0.025566015	0.943078626		
0.00008448	-0.025288265	0.941710141		
0.00009152	-0.026399265	0.942257535		
0.00009856	-0.026677015	0.940615352		
0.0001056	-0.025843765	0.939794261		
0.00011264	-0.025843765	0.940067958		
0.00011968	-0.024732765	0.940341655		
0.00012672	-0.026677015	0.940341655		
0.00013376	-0.025566015	0.941162746		
0.0001408	-0.025843765	0.941983838		
0.00014784	-0.026677015	0.939520564		
0.00015488	-0.026399265	0.940889049		
0.00016192	-0.025843765	0.940615352		
0.00016896	-0.026121515	0.940889049		
0.000176	-0.024455015	0.937330987		
0.00018304	-0.026399265	0.940615352		
0.00019008	-0.025843765	0.941162746		
0.00019712	-0.025566015	0.941983838		
0.00020416	-0.025843765	0.940615352		
0.0002112	-0.025843765	0.940615352		
0.00021824	-0.023621765	0.938973169		
0.00022528	-0.027788015	0.940341655		
0.00023232	-0.026399265	0.940615352		
0.00023936	-0.025566015	0.939794261		
0.0002464	-0.024455015	0.941436444		
0.00025344	-0.023344015	0.939520564		
0.00026048	-0.025843765	0.940341655		
0.00026752	-0.025010515	0.939520564		
0.00027456	-0.026954765	0.941162746		
0.0002816	-0.025010515	0.940889049		
0.00028864	-0.026399265	0.940341655		
0.00029568	-0.024455015	0.941710141		
0.00030272	-0.026121515	0.940615352		
0.00030976	-0.026121515	0.938425775		
0.0003168	-0.026399265	0.940341655		
0.00032384	-0.025843765	0.940615352		
0.00033088	-0.024732765	0.939520564		
0.00033792	-0.024455015	0.938425775		
0.00034496	-0.025843765	0.940615352		
0.000352	-0.028065765	0.940889049		
0.00035904	-0.025566015	0.938973169		
0.00036608	-0.025288265	0.940341655		
0.00037312	-0.027510265	0.940889049		
0.00038016	-0.023899515	0.941162746		
0.0003872	-0.024732765	0.938152078		
